date_id,day,month,year,quarter,month_name,day_name
2016-04-03,3,4,2016,2,April,Sunday
2016-04-04,4,4,2016,2,April,Monday
2016-04-05,5,4,2016,2,April,Tuesday
2016-04-06,6,4,2016,2,April,Wednesday
2016-04-07,7,4,2016,2,April,Thursday
2016-04-08,8,4,2016,2,April,Friday
2016-04-09,9,4,2016,2,April,Saturday
2016-04-10,10,4,2016,2,April,Sunday
2016-04-11,11,4,2016,2,April,Monday
2016-04-13,13,4,2016,2,April,Wednesday
2016-04-14,14,4,2016,2,April,Thursday
2016-04-15,15,4,2016,2,April,Friday
2016-04-16,16,4,2016,2,April,Saturday
2016-04-17,17,4,2016,2,April,Sunday
2016-04-18,18,4,2016,2,April,Monday
2016-04-19,19,4,2016,2,April,Tuesday
2016-04-20,20,4,2016,2,April,Wednesday
2016-04-21,21,4,2016,2,April,Thursday
2016-04-22,22,4,2016,2,April,Friday
2016-04-23,23,4,2016,2,April,Saturday
2016-04-24,24,4,2016,2,April,Sunday
2016-04-25,25,4,2016,2,April,Monday
2016-04-26,26,4,2016,2,April,Tuesday
2016-04-27,27,4,2016,2,April,Wednesday
2016-04-28,28,4,2016,2,April,Thursday
2016-04-29,29,4,2016,2,April,Friday
2016-04-30,30,4,2016,2,April,Saturday
2016-05-01,1,5,2016,2,May,Sunday
2016-05-02,2,5,2016,2,May,Monday
2016-05-03,3,5,2016,2,May,Tuesday
2016-05-04,4,5,2016,2,May,Wednesday
2016-05-05,5,5,2016,2,May,Thursday
2016-05-06,6,5,2016,2,May,Friday
2016-05-07,7,5,2016,2,May,Saturday
2016-05-08,8,5,2016,2,May,Sunday
2016-05-09,9,5,2016,2,May,Monday
2016-05-10,10,5,2016,2,May,Tuesday
2016-05-11,11,5,2016,2,May,Wednesday
2016-05-12,12,5,2016,2,May,Thursday
2016-05-13,13,5,2016,2,May,Friday
2016-05-14,14,5,2016,2,May,Saturday
2016-05-15,15,5,2016,2,May,Sunday
2016-05-16,16,5,2016,2,May,Monday
2016-05-17,17,5,2016,2,May,Tuesday
2016-05-18,18,5,2016,2,May,Wednesday
2016-05-19,19,5,2016,2,May,Thursday
2016-05-20,20,5,2016,2,May,Friday
2016-05-21,21,5,2016,2,May,Saturday
2016-05-22,22,5,2016,2,May,Sunday
2016-05-23,23,5,2016,2,May,Monday
2016-05-24,24,5,2016,2,May,Tuesday
2016-05-25,25,5,2016,2,May,Wednesday
2016-05-26,26,5,2016,2,May,Thursday
2016-05-27,27,5,2016,2,May,Friday
2016-05-28,28,5,2016,2,May,Saturday
2016-05-29,29,5,2016,2,May,Sunday
2016-05-30,30,5,2016,2,May,Monday
2016-05-31,31,5,2016,2,May,Tuesday
2016-06-01,1,6,2016,2,June,Wednesday
2016-06-02,2,6,2016,2,June,Thursday
2016-06-03,3,6,2016,2,June,Friday
2016-06-04,4,6,2016,2,June,Saturday
2016-06-05,5,6,2016,2,June,Sunday
2016-06-07,7,6,2016,2,June,Tuesday
2016-06-08,8,6,2016,2,June,Wednesday
2016-06-09,9,6,2016,2,June,Thursday
2016-06-10,10,6,2016,2,June,Friday
2016-06-11,11,6,2016,2,June,Saturday
2016-06-12,12,6,2016,2,June,Sunday
2016-06-13,13,6,2016,2,June,Monday
2016-06-14,14,6,2016,2,June,Tuesday
2016-06-15,15,6,2016,2,June,Wednesday
2016-06-16,16,6,2016,2,June,Thursday
2016-06-17,17,6,2016,2,June,Friday
2016-06-18,18,6,2016,2,June,Saturday
2016-06-19,19,6,2016,2,June,Sunday
2016-06-20,20,6,2016,2,June,Monday
2016-06-21,21,6,2016,2,June,Tuesday
2016-06-22,22,6,2016,2,June,Wednesday
2016-06-23,23,6,2016,2,June,Thursday
2016-06-24,24,6,2016,2,June,Friday
2016-06-25,25,6,2016,2,June,Saturday
2016-06-26,26,6,2016,2,June,Sunday
2016-06-27,27,6,2016,2,June,Monday
2016-06-28,28,6,2016,2,June,Tuesday
2016-06-29,29,6,2016,2,June,Wednesday
2016-06-30,30,6,2016,2,June,Thursday
2016-07-01,1,7,2016,3,July,Friday
2016-07-02,2,7,2016,3,July,Saturday
2016-07-03,3,7,2016,3,July,Sunday
2016-07-04,4,7,2016,3,July,Monday
2016-07-05,5,7,2016,3,July,Tuesday
2016-07-06,6,7,2016,3,July,Wednesday
2016-07-08,8,7,2016,3,July,Friday
2016-07-09,9,7,2016,3,July,Saturday
2016-07-10,10,7,2016,3,July,Sunday
2016-07-11,11,7,2016,3,July,Monday
2016-07-12,12,7,2016,3,July,Tuesday
2016-07-13,13,7,2016,3,July,Wednesday
2016-07-14,14,7,2016,3,July,Thursday
2016-07-15,15,7,2016,3,July,Friday
2016-07-16,16,7,2016,3,July,Saturday
2016-07-17,17,7,2016,3,July,Sunday
2016-07-18,18,7,2016,3,July,Monday
2016-07-19,19,7,2016,3,July,Tuesday
2016-07-20,20,7,2016,3,July,Wednesday
2016-07-21,21,7,2016,3,July,Thursday
2016-07-22,22,7,2016,3,July,Friday
2016-07-23,23,7,2016,3,July,Saturday
2016-07-24,24,7,2016,3,July,Sunday
2016-07-25,25,7,2016,3,July,Monday
2016-07-26,26,7,2016,3,July,Tuesday
2016-07-27,27,7,2016,3,July,Wednesday
2016-07-28,28,7,2016,3,July,Thursday
2016-07-29,29,7,2016,3,July,Friday
2016-07-30,30,7,2016,3,July,Saturday
2016-07-31,31,7,2016,3,July,Sunday
2016-08-01,1,8,2016,3,August,Monday
2016-08-02,2,8,2016,3,August,Tuesday
2016-08-03,3,8,2016,3,August,Wednesday
2016-08-05,5,8,2016,3,August,Friday
2016-08-06,6,8,2016,3,August,Saturday
2016-08-07,7,8,2016,3,August,Sunday
2016-08-08,8,8,2016,3,August,Monday
2016-08-09,9,8,2016,3,August,Tuesday
2016-08-10,10,8,2016,3,August,Wednesday
2016-08-11,11,8,2016,3,August,Thursday
2016-08-12,12,8,2016,3,August,Friday
2016-08-13,13,8,2016,3,August,Saturday
2016-08-14,14,8,2016,3,August,Sunday
2016-08-15,15,8,2016,3,August,Monday
2016-08-16,16,8,2016,3,August,Tuesday
2016-08-17,17,8,2016,3,August,Wednesday
2016-08-19,19,8,2016,3,August,Friday
2016-08-20,20,8,2016,3,August,Saturday
2016-08-21,21,8,2016,3,August,Sunday
2016-08-22,22,8,2016,3,August,Monday
2016-08-23,23,8,2016,3,August,Tuesday
2016-08-24,24,8,2016,3,August,Wednesday
2016-08-25,25,8,2016,3,August,Thursday
2016-08-26,26,8,2016,3,August,Friday
2016-08-27,27,8,2016,3,August,Saturday
2016-08-28,28,8,2016,3,August,Sunday
2016-08-29,29,8,2016,3,August,Monday
2016-08-30,30,8,2016,3,August,Tuesday
2016-08-31,31,8,2016,3,August,Wednesday
2016-09-01,1,9,2016,3,September,Thursday
2016-09-02,2,9,2016,3,September,Friday
2016-09-03,3,9,2016,3,September,Saturday
2016-09-04,4,9,2016,3,September,Sunday
2016-09-05,5,9,2016,3,September,Monday
2016-09-06,6,9,2016,3,September,Tuesday
2016-09-07,7,9,2016,3,September,Wednesday
2016-09-08,8,9,2016,3,September,Thursday
2016-09-09,9,9,2016,3,September,Friday
2016-09-10,10,9,2016,3,September,Saturday
